zone;week;climatic_year;cum_inflow_into_reservoirs;cum_nat_inflow_into_pump-storage_reservoirs
france;16;1985;424.644;0.000
france;16;1986;511.224;0.000
france;16;1987;374.400;0.000
france;16;1988;524.124;0.000
france;16;1989;267.868;0.000
france;16;1990;239.119;0.000
france;16;1991;204.096;0.000
france;16;1992;204.235;0.000
france;16;1993;228.889;0.000
france;16;1994;528.856;0.000
france;16;1995;424.616;0.000
france;16;1996;273.999;0.000
france;16;1997;232.278;0.000
france;16;1998;329.378;0.000
france;16;1999;366.599;0.000
france;16;2000;443.360;0.000
france;16;2001;483.167;0.000
france;16;2002;187.734;0.000
france;16;2003;275.246;0.000
france;16;2004;414.084;0.000
france;16;2005;382.571;0.000
france;16;2006;361.509;0.000
france;16;2007;279.669;0.000
france;16;2008;353.922;0.000
france;16;2009;390.233;0.000
france;16;2010;288.716;0.000
france;16;2011;190.623;0.000
france;16;2012;254.345;0.000
france;16;2013;484.516;0.000
france;16;2014;354.732;0.000
france;16;2015;235.235;0.000
france;16;2016;360.801;0.000
france;16;2017;193.114;0.000
france;17;1982;310.534;0.000
france;17;1983;658.352;0.000
france;17;1984;225.780;0.000
france;17;1985;409.006;0.000
france;17;1986;555.193;0.000
france;17;1987;379.860;0.000
france;17;1988;552.564;0.000
france;17;1989;288.733;0.000
france;17;1990;264.904;0.000
france;17;1991;219.547;0.000
france;17;1992;210.265;0.000
france;17;1993;319.861;0.000
france;17;1994;552.090;0.000
france;17;1995;482.626;0.000
france;17;1996;298.051;0.000
france;17;1997;213.636;0.000
france;17;1998;535.705;0.000
france;17;1999;436.525;0.000
france;17;2000;534.972;0.000
france;17;2001;498.243;0.000
france;17;2002;167.920;0.000
france;17;2003;285.925;0.000
france;17;2004;475.666;0.000
france;17;2005;566.810;0.000
france;17;2006;372.724;0.000
france;17;2007;275.496;0.000
france;17;2008;540.458;0.000
france;17;2009;470.980;0.000
france;17;2010;279.323;0.000
france;17;2011;164.150;0.000
france;17;2012;288.960;0.000
france;17;2013;430.279;0.000
france;17;2014;343.146;0.000
france;17;2015;259.463;0.000
france;17;2016;323.641;0.000
france;17;2017;180.928;0.000
france;18;1982;284.401;0.000
france;18;1983;604.619;0.000
france;18;1984;230.823;0.000
france;18;1985;339.689;0.000
france;18;1986;549.099;0.000
france;18;1987;372.903;0.000
france;18;1988;502.581;0.000
france;18;1989;306.311;0.000
france;18;1990;239.159;0.000
france;18;1991;229.119;0.000
france;18;1992;242.940;0.000
france;18;1993;418.799;0.000
france;18;1994;511.931;0.000
france;18;1995;463.810;0.000
france;18;1996;366.960;0.000
france;18;1997;235.131;0.000
france;18;1998;629.076;0.000
france;18;1999;499.788;0.000
france;18;2000;612.115;0.000
france;18;2001;1065.072;0.000
france;18;2002;152.646;0.000
france;18;2003;310.847;0.000
france;18;2004;555.362;0.000
france;18;2005;444.336;0.000
france;18;2006;313.011;0.000
france;18;2007;309.285;0.000
france;18;2008;474.537;0.000
france;18;2009;407.681;0.000
france;18;2010;329.866;0.000
france;18;2011;161.815;0.000
france;18;2012;359.765;0.000
france;18;2013;464.648;0.000
france;18;2014;336.323;0.000
france;18;2015;310.556;0.000
france;18;2016;252.732;0.000
france;18;2017;213.278;0.000
france;19;1982;279.749;0.000
france;19;1983;505.354;0.000
france;19;1984;279.963;0.000
france;19;1985;528.705;0.000
france;19;1986;531.879;0.000
france;19;1987;287.907;0.000
france;19;1988;523.803;0.000
france;19;1989;275.011;0.000
france;19;1990;263.894;0.000
france;19;1991;275.479;0.000
france;19;1992;224.207;0.000
france;19;1993;331.759;0.000
france;19;1994;455.746;0.000
france;19;1995;486.397;0.000
france;19;1996;366.546;0.000
france;19;1997;282.590;0.000
france;19;1998;435.353;0.000
france;19;1999;620.411;0.000
france;19;2000;543.686;0.000
france;19;2001;832.328;0.000
france;19;2002;227.439;0.000
france;19;2003;308.355;0.000
france;19;2004;518.938;0.000
france;19;2005;333.308;0.000
france;19;2006;327.349;0.000
france;19;2007;322.900;0.000
france;19;2008;397.823;0.000
france;19;2009;317.168;0.000
france;19;2010;343.079;0.000
france;19;2011;158.452;0.000
france;19;2012;353.660;0.000
france;19;2013;526.425;0.000
france;19;2014;302.784;0.000
france;19;2015;310.848;0.000
france;19;2016;260.305;0.000
france;19;2017;239.476;0.000
france;20;1982;347.805;0.000
france;20;1983;582.486;0.000
france;20;1984;257.128;0.000
france;20;1985;540.929;0.000
france;20;1986;566.612;0.000
france;20;1987;234.005;0.000
france;20;1988;633.829;0.000
france;20;1989;234.287;0.000
france;20;1990;283.414;0.000
france;20;1991;232.586;0.000
france;20;1992;272.024;0.000
france;20;1993;341.446;0.000
france;20;1994;495.984;0.000
france;20;1995;413.285;0.000
france;20;1996;333.124;0.000
france;20;1997;311.892;0.000
france;20;1998;358.861;0.000
france;20;1999;524.709;0.000
france;20;2000;504.584;0.000
france;20;2001;650.277;0.000
france;20;2002;253.359;0.000
france;20;2003;272.967;0.000
france;20;2004;429.730;0.000
france;20;2005;316.609;0.000
france;20;2006;336.718;0.000
france;20;2007;318.617;0.000
france;20;2008;358.478;0.000
france;20;2009;371.429;0.000
france;20;2010;348.309;0.000
france;20;2011;179.851;0.000
france;20;2012;295.766;0.000
france;20;2013;496.455;0.000
france;20;2014;261.048;0.000
france;20;2015;267.032;0.000
france;20;2016;260.806;0.000
france;20;2017;280.589;0.000
france;21;1982;404.599;0.000
france;21;1983;709.534;0.000
france;21;1984;336.502;0.000
france;21;1985;545.088;0.000
france;21;1986;604.811;0.000
france;21;1987;255.496;0.000
france;21;1988;568.408;0.000
france;21;1989;257.006;0.000
france;21;1990;329.071;0.000
france;21;1991;198.864;0.000
france;21;1992;268.842;0.000
france;21;1993;364.261;0.000
france;21;1994;472.364;0.000
france;21;1995;431.322;0.000
france;21;1996;340.671;0.000
france;21;1997;301.579;0.000
france;21;1998;299.815;0.000
france;21;1999;506.338;0.000
france;21;2000;424.075;0.000
france;21;2001;498.608;0.000
france;21;2002;286.471;0.000
france;21;2003;253.887;0.000
france;21;2004;415.089;0.000
france;21;2005;321.766;0.000
france;21;2006;349.183;0.000
france;21;2007;327.723;0.000
france;21;2008;317.428;0.000
france;21;2009;344.062;0.000
france;21;2010;293.670;0.000
france;21;2011;192.171;0.000
france;21;2012;410.789;0.000
france;21;2013;562.825;0.000
france;21;2014;280.798;0.000
france;21;2015;241.943;0.000
france;21;2016;232.195;0.000
france;21;2017;299.188;0.000
france;22;1982;431.390;0.000
france;22;1983;552.868;0.000
france;22;1984;360.237;0.000
france;22;1985;501.615;0.000
france;22;1986;460.099;0.000
france;22;1987;277.119;0.000
france;22;1988;443.535;0.000
france;22;1989;268.647;0.000
france;22;1990;262.456;0.000
france;22;1991;242.364;0.000
france;22;1992;281.237;0.000
france;22;1993;356.843;0.000
france;22;1994;451.898;0.000
france;22;1995;475.987;0.000
france;22;1996;314.057;0.000
france;22;1997;283.998;0.000
france;22;1998;225.339;0.000
france;22;1999;499.454;0.000
france;22;2000;358.549;0.000
france;22;2001;460.393;0.000
france;22;2002;280.402;0.000
france;22;2003;275.491;0.000
france;22;2004;363.855;0.000
france;22;2005;336.153;0.000
france;22;2006;285.969;0.000
france;22;2007;359.559;0.000
france;22;2008;685.798;0.000
france;22;2009;258.935;0.000
france;22;2010;306.905;0.000
france;22;2011;186.295;0.000
france;22;2012;425.453;0.000
france;22;2013;523.670;0.000
france;22;2014;265.871;0.000
france;22;2015;217.444;0.000
france;22;2016;301.344;0.000
france;22;2017;289.729;0.000
france;23;1982;456.221;0.000
france;23;1983;459.463;0.000
france;23;1984;422.426;0.000
france;23;1985;503.490;0.000
france;23;1986;321.002;0.000
france;23;1987;362.232;0.000
france;23;1988;430.758;0.000
france;23;1989;215.716;0.000
france;23;1990;278.227;0.000
france;23;1991;252.847;0.000
france;23;1992;399.931;0.000
france;23;1993;353.902;0.000
france;23;1994;410.394;0.000
france;23;1995;431.995;0.000
france;23;1996;331.165;0.000
france;23;1997;272.931;0.000
france;23;1998;292.150;0.000
france;23;1999;449.327;0.000
france;23;2000;354.409;0.000
france;23;2001;428.874;0.000
france;23;2002;407.765;0.000
france;23;2003;288.863;0.000
france;23;2004;361.484;0.000
france;23;2005;285.532;0.000
france;23;2006;229.079;0.000
france;23;2007;381.680;0.000
france;23;2008;589.551;0.000
france;23;2009;252.433;0.000
france;23;2010;336.529;0.000
france;23;2011;224.080;0.000
france;23;2012;402.855;0.000
france;23;2013;468.755;0.000
france;23;2014;281.018;0.000
france;23;2015;267.953;0.000
france;23;2016;361.111;0.000
france;23;2017;284.173;0.000
france;24;1982;458.844;0.000
france;24;1983;431.185;0.000
france;24;1984;400.934;0.000
france;24;1985;431.296;0.000
france;24;1986;287.385;0.000
france;24;1987;402.990;0.000
france;24;1988;431.737;0.000
france;24;1989;200.800;0.000
france;24;1990;250.689;0.000
france;24;1991;283.136;0.000
france;24;1992;563.994;0.000
france;24;1993;287.122;0.000
france;24;1994;323.105;0.000
france;24;1995;380.234;0.000
france;24;1996;315.814;0.000
france;24;1997;283.542;0.000
france;24;1998;311.464;0.000
france;24;1999;406.510;0.000
france;24;2000;467.166;0.000
france;24;2001;460.751;0.000
france;24;2002;368.404;0.000
france;24;2003;309.903;0.000
france;24;2004;377.327;0.000
france;24;2005;264.991;0.000
france;24;2006;252.449;0.000
france;24;2007;392.371;0.000
france;24;2008;470.309;0.000
france;24;2009;326.294;0.000
france;24;2010;454.680;0.000
france;24;2011;217.666;0.000
france;24;2012;356.303;0.000
france;24;2013;475.589;0.000
france;24;2014;222.888;0.000
france;24;2015;294.677;0.000
france;24;2016;343.169;0.000
france;24;2017;289.406;0.000
france;25;1982;361.213;0.000
france;25;1983;321.973;0.000
france;25;1984;378.708;0.000
france;25;1985;459.818;0.000
france;25;1986;343.138;0.000
france;25;1987;358.071;0.000
france;25;1988;441.609;0.000
france;25;1989;219.336;0.000
france;25;1990;286.862;0.000
france;25;1991;306.692;0.000
france;25;1992;379.251;0.000
france;25;1993;290.759;0.000
france;25;1994;312.171;0.000
france;25;1995;394.705;0.000
france;25;1996;282.371;0.000
france;25;1997;271.391;0.000
france;25;1998;286.135;0.000
france;25;1999;331.073;0.000
france;25;2000;372.886;0.000
france;25;2001;417.976;0.000
france;25;2002;347.337;0.000
france;25;2003;270.735;0.000
france;25;2004;310.812;0.000
france;25;2005;297.170;0.000
france;25;2006;280.324;0.000
france;25;2007;359.113;0.000
france;25;2008;385.900;0.000
france;25;2009;316.309;0.000
france;25;2010;468.241;0.000
france;25;2011;234.584;0.000
france;25;2012;341.850;0.000
france;25;2013;512.742;0.000
france;25;2014;239.584;0.000
france;25;2015;300.251;0.000
france;25;2016;370.511;0.000
france;25;2017;249.738;0.000
france;26;1982;341.766;0.000
france;26;1983;332.741;0.000
france;26;1984;346.746;0.000
france;26;1985;406.494;0.000
france;26;1986;357.485;0.000
france;26;1987;341.825;0.000
france;26;1988;396.447;0.000
france;26;1989;223.387;0.000
france;26;1990;316.589;0.000
france;26;1991;292.055;0.000
france;26;1992;410.666;0.000
france;26;1993;317.949;0.000
france;26;1994;356.164;0.000
france;26;1995;414.252;0.000
france;26;1996;254.874;0.000
france;26;1997;282.765;0.000
